Hum	Mouse	Rat	Macaca
EEA1	Eea1	Eea1	EEA1
RNF25	Rnf25	Rnf25	RNF25
TBC1D15	Tbc1d15	Tbc1d15	TBC1D15
SKA1	Ska1	Ska1	SKA1
INSM1	Insm1		INSM1
IL22RA1	Il22ra1	Il22ra1	IL22RA1
HOXD9	Hoxd9	Hoxd9	HOXD9
YY1	Yy1	Yy1	YY1
NAPA	Napa	Napa	NAPA
MINPP1	Minpp1	RGD1564801	MINPP1
MINPP1	Minpp1	Minpp1	MINPP1
PRIMA1	Prima1	Prima1	PRIMA1
CDA	Cda	LOC100909857	CDA
CDA	Cda	Cda	CDA
GEMIN8	Gemin8	Gemin8	GEMIN8
GNS	Gns	Gns	GNS
GNS	Gns	LOC100909505	GNS
AXIN2	Axin2	Axin2	AXIN2
RPRD1A	Rprd1a	Rprd1a	RPRD1A
PROKR2	Prokr2	Prokr2	PROKR2
CCDC114	Ccdc114	Ccdc114	CCDC114
C1RL	C1rl	C1rl	C1RL
USP15	Usp15	Usp15	USP15
OPN5	Opn5	Opn5	OPN5
CEP120	Cep120	Cep120	CEP120
SLC25A3	Slc25a3	Slc25a3	SLC25A3
PPP2R1A	Ppp2r1a	Ppp2r1a	PPP2R1A
ZG16	Zg16	Zg16	ZG16
SAXO1	Saxo1	Saxo1	SAXO1
SAXO1	Saxo1	Fam154a	SAXO1
FKBP3	Fkbp3	Fkbp3	FKBP3
GAL3ST2	Gal3st2	Gal3st2	GAL3ST2
GAL3ST2	Gal3st2c	Gal3st2	GAL3ST2
GAL3ST2	Gal3st2b	Gal3st2	GAL3ST2
EDA2R	Eda2r	Eda2r	EDA2R
NFATC4	Nfatc4	Nfatc4	NFATC4
POMGNT1	Pomgnt1	Pomgnt1	POMGNT1
SOS2	Sos2	Sos2	SOS2
KRR1	Krr1	Krr1	KRR1
GRB2	Grb2	Grb2	GRB2
TDG	Tdg	Tdg	TDG
DLK2	Dlk2	Dlk2	DLK2
RAB25	Rab25	Rab25	RAB25
ADAMTS13	Adamts13	Adamts13	ADAMTS13
CNGB1	Cngb1	Cngb1	CNGB1
EIF4EBP2	Eif4ebp2	Eif4ebp2	EIF4EBP2
ATF1	Atf1	Atf1	ATF1
EXOSC4	Exosc4	Exosc4	EXOSC4
PSMA5	Psma5	Psma5	PSMA5
NAA11	Naa11	Naa11	NAA11
NAA11	Gm16286	Naa11	NAA11
NAA11	Naa11	LOC100909833	NAA11
NAA11	Gm16286	LOC100909833	NAA11
NAA11	Naa11	RGD1560212	NAA11
NAA11	Gm16286	RGD1560212	NAA11
PYY	Pyy	Pyy	PYY
IL23A	Il23a	Il23a	IL23A
QSOX2	Qsox2	Qsox2	QSOX2
PCBD1	Pcbd1	Pcbd1	PCBD1
ADCY8	Adcy8	Adcy8	ADCY8
SLIT2	Slit2	Slit2	SLIT2
CYR61	Cyr61	Cyr61	CYR61
HS3ST2	Hs3st2	Hs3st2	HS3ST2
HOXC5			HOXC5
FYN	Fyn	Fyn	FYN
BTBD10	Btbd10	Btbd10	BTBD10
FAM57A	Fam57a	Fam57a	FAM57A
KCNH1	Kcnh1	Kcnh1	KCNH1
MFNG	Mfng	Mfng	MFNG
PSEN1	Psen1	Psen1	PSEN1
FAM234B	Fam234b	Fam234b	FAM234B
USH1C	Ush1c	Ush1c	USH1C
ZNF708	Zfp457	LOC102547287	ZNF708
ZNF708	Zfp58	LOC102547287	ZNF708
ZNF708	Zfp493	LOC102547287	ZNF708
ZNF708	CT573016.1	LOC102547287	ZNF708
ZNF708	Zfp273	LOC102547287	ZNF708
ZNF708	Zfp72	LOC102547287	ZNF708
ZNF708	Zfp458	LOC102547287	ZNF708
ZNF708	Zfp953	LOC102547287	ZNF708
ZNF708	Zfp85	LOC102547287	ZNF708
ZNF708	Zfp738	LOC102547287	ZNF708
ZNF708	Zfp759	LOC102547287	ZNF708
ZNF708	Zfp65	LOC102547287	ZNF708
ZNF708	Zfp708	LOC102547287	ZNF708
ZNF708	Zfp87	LOC102547287	ZNF708
ZNF708	Zfp457	LOC100909688	ZNF708
ZNF708	Zfp58	LOC100909688	ZNF708
ZNF708	Zfp493	LOC100909688	ZNF708
ZNF708	CT573016.1	LOC100909688	ZNF708
ZNF708	Zfp273	LOC100909688	ZNF708
PLA2G7	Pla2g7	Pla2g7	PLA2G7
FRMD4A	Frmd4a	Frmd4a	FRMD4A
BRS3	Brs3	Brs3	BRS3
ALB	Alb	Alb	ALB
SLC24A1	Slc24a1	Slc24a1	SLC24A1
GPBP1	Gpbp1	Gpbp1	GPBP1
RPTOR	Rptor	Rptor	RPTOR
HK3	Hk3	Hk3	HK3
FKBP11	Fkbp11	Fkbp11	FKBP11
IGFBP6	Igfbp6	Igfbp6	IGFBP6
DYNC1I1	Dync1i1	Dync1i1	DYNC1I1
HUS1	Hus1	Hus1	HUS1
EPHA6	Epha6	Epha6	EPHA6
NAALADL2	Naaladl2		NAALADL2
PLEKHA7	Plekha7	Plekha7	PLEKHA7
MCCC1	Mccc1	Mccc1	MCCC1
CTBP1	Ctbp1	Ctbp1	CTBP1
TDP1	Tdp1	Tdp1	TDP1
DIDO1	Dido1	Dido1	DIDO1
SLC2A8	Slc2a8	Slc2a8	SLC2A8
MED31	Med31	Med31	MED31
SLC5A5	Slc5a5	Slc5a5	SLC5A5
KIFC3	Kifc3	Kifc3	KIFC3
DAB2	Dab2	Dab2	DAB2
PPFIA4	Ppfia4	Ppfia4	PPFIA4
MECR	Mecr	Mecr	MECR
SLFN13	Slfn8	Slfn13	SLFN13
SLFN13	Slfn9	Slfn13	SLFN13
SGSM2	Sgsm2	Sgsm2	SGSM2
TMCC3	Tmcc3	Tmcc3	TMCC3
PSEN2	Psen2	Psen2	PSEN2
SIRT5	Sirt5	Sirt5	SIRT5
SLC38A5	Slc38a5	Slc38a5	SLC38A5
RAP1GDS1	Rap1gds1	Rap1gds1	RAP1GDS1
SLC22A7	Slc22a7	Slc22a7	SLC22A7
CSPG5	Cspg5	Cspg5	CSPG5
SLITRK1	Slitrk1	Slitrk1	SLITRK1
KCNA7	Kcna7	Kcna7	KCNA7
CFTR	Cftr	Cftr	CFTR
MYH7	Myh7	Myh7	MYH7
SCGN	Scgn	Scgn	SCGN
KCNMB3	Kcnmb3	Kcnmb3	KCNMB3
ID2	Id2	Id2	ID2
CD200	Cd200	Cd200	CD200
ZNF708	Zfp72	LOC100909688	ZNF708
ZNF708	Zfp458	LOC100909688	ZNF708
ZNF708	Zfp953	LOC100909688	ZNF708
ZNF708	Zfp85	LOC100909688	ZNF708
ZNF708	Zfp738	LOC100909688	ZNF708
ZNF708	Zfp759	LOC100909688	ZNF708
ZNF708	Zfp65	LOC100909688	ZNF708
ZNF708	Zfp708	LOC100909688	ZNF708
ZNF708	Zfp87	LOC100909688	ZNF708
ZNF708	Zfp457	LOC100360380	ZNF708
ZNF708	Zfp58	LOC100360380	ZNF708
ZNF708	Zfp493	LOC100360380	ZNF708
ZNF708	CT573016.1	LOC100360380	ZNF708
ZNF708	Zfp273	LOC100360380	ZNF708
ZNF708	Zfp72	LOC100360380	ZNF708
ZNF708	Zfp458	LOC100360380	ZNF708
ZNF708	Zfp953	LOC100360380	ZNF708
ZNF708	Zfp85	LOC100360380	ZNF708
ZNF708	Zfp738	LOC100360380	ZNF708
ZNF708	Zfp759	LOC100360380	ZNF708
ZNF708	Zfp65	LOC100360380	ZNF708
ZNF708	Zfp708	LOC100360380	ZNF708
ZNF708	Zfp87	LOC100360380	ZNF708
ZNF708	Zfp457	LOC102551340	ZNF708
ZNF708	Zfp58	LOC102551340	ZNF708
ZNF708	Zfp493	LOC102551340	ZNF708
ZNF708	CT573016.1	LOC102551340	ZNF708
ZNF708	Zfp273	LOC102551340	ZNF708
ZNF708	Zfp72	LOC102551340	ZNF708
ZNF708	Zfp458	LOC102551340	ZNF708
ZNF708	Zfp953	LOC102551340	ZNF708
ZNF708	Zfp85	LOC102551340	ZNF708
ZNF708	Zfp738	LOC102551340	ZNF708
ZNF708	Zfp759	LOC102551340	ZNF708
ZNF708	Zfp65	LOC102551340	ZNF708
ZNF708	Zfp708	LOC102551340	ZNF708
ZNF708	Zfp87	LOC102551340	ZNF708
ZNF708	Zfp457	Zfp458	ZNF708
ZNF708	Zfp58	Zfp458	ZNF708
ZNF708	Zfp493	Zfp458	ZNF708
ZNF708	CT573016.1	Zfp458	ZNF708
ZNF708	Zfp273	Zfp458	ZNF708
ZNF708	Zfp72	Zfp458	ZNF708
ZNF708	Zfp458	Zfp458	ZNF708
ZNF708	Zfp953	Zfp458	ZNF708
ZNF708	Zfp85	Zfp458	ZNF708
ZNF708	Zfp738	Zfp458	ZNF708
ZNF708	Zfp759	Zfp458	ZNF708
ZNF708	Zfp65	Zfp458	ZNF708
ZNF708	Zfp708	Zfp458	ZNF708
ZNF708	Zfp87	Zfp458	ZNF708
ZNF708	Zfp457	LOC501406	ZNF708
ZNF708	Zfp58	LOC501406	ZNF708
ZNF708	Zfp493	LOC501406	ZNF708
ZNF708	CT573016.1	LOC501406	ZNF708
ZNF708	Zfp273	LOC501406	ZNF708
ZNF708	Zfp72	LOC501406	ZNF708
ZNF708	Zfp458	LOC501406	ZNF708
ZNF708	Zfp953	LOC501406	ZNF708
ZNF708	Zfp85	LOC501406	ZNF708
ZNF708	Zfp738	LOC501406	ZNF708
ZNF708	Zfp759	LOC501406	ZNF708
ZNF708	Zfp65	LOC501406	ZNF708
ZNF708	Zfp708	LOC501406	ZNF708
ZNF708	Zfp87	LOC501406	ZNF708
TRDN	Trdn	Trdn	TRDN
MDS2			MDS2
RAB44	Rab44	Rab44	RAB44
COL28A1	Col28a1	Col28a1	COL28A1
OR4Q2			OR4Q2
BAG6	Bag6	Bag6	BAG6
MCMBP	Mcmbp	Mcmbp	MCMBP
DEFB136	Defb42	Defb44	DEFB136
LCN10	Lcn10	Lcn10	LCN10
OSTN	Ostn	Ostn	OSTN
PDE4B	Pde4b	Pde4b	PDE4B
ROBO2	Robo2	Robo2	ROBO2
TAAR9	Taar9	Taar9	TAAR9
PCLO	Pclo	Pclo	PCLO
MGAM	Mgam	Mgam	MGAM
TBC1D9B	Tbc1d9b	Tbc1d9b	TBC1D9B
NEB	Neb	Neb	NEB
PNMA2	Pnma2	Pnma2	PNMA2
SNORD113-8			SNORD113
CD247	Cd247	Cd247	CD247
TCTE3	Gm3448	Tcte3	TCTE3
